match_id,series_id,match_details,result,scores,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs,D/L_method,target,year
542718,542416,"1st Semi-Final:Sussex v Yorkshire at Cardiff- Aug 25, 2012",Yorkshire won by 36 runs,Yorkshire 172/6 (20/20 ov); Sussex 136/8 (20/20 ov),2012-08-25,Cardiff,1st Semi-Final,Sussex,Yorkshire,Yorkshire,36.0,,,Yorkshire,172.0,6.0,20.0,20.0,Sussex,136.0,8.0,20.0,20.0,,,2012
542719,542416,"2nd Semi-Final:Hampshire v Somerset at Cardiff- Aug 25, 2012",Hampshire won by 6 wickets (with 6 balls remaining),Somerset 125/6 (20/20 ov); Hampshire 126/4 (19/20 ov),2012-08-25,Cardiff,2nd Semi-Final,Hampshire,Somerset,Hampshire,,6.0,6.0,Somerset,125.0,6.0,20.0,20.0,Hampshire,126.0,4.0,19.0,20.0,,,2012
542720,542416,"Final:Yorkshire v Hampshire at Cardiff- Aug 25, 2012",Hampshire won by 10 runs,Hampshire 150/6 (20/20 ov); Yorkshire 140/8 (20/20 ov),2012-08-25,Cardiff,Final,Yorkshire,Hampshire,Hampshire,10.0,,,Hampshire,150.0,6.0,20.0,20.0,Yorkshire,140.0,8.0,20.0,20.0,,,2012
571353,564280,"Nagenahira Nagas v Ruhuna Royals at Colombo (RPS)- Aug 11, 2012",Nagenahira Nagas won by 5 runs (D/L method),"Ruhuna Royals 134 (20/20 ov); Nagenahira Nagas 77/2 (12/12 ov, target: 73)",2012-08-11,Colombo (RPS),,Nagenahira Nagas,Ruhuna Royals,Nagenahira Nagas,5.0,,,Ruhuna Royals,134.0,10.0,20.0,20.0,Nagenahira Nagas,77.0,2.0,12.0,12.0,1.0,73.0,2012
571354,564280,"Basnahira Cricket Dundee v Kandurata Warriors at Colombo (RPS)- Aug 11, 2012",Basnahira Cricket Dundee won by 34 runs,Basnahira Cricket Dundee 129/3 (13/13 ov); Kandurata Warriors 95/7 (13/13 ov),2012-08-11,Colombo (RPS),,Basnahira Cricket Dundee,Kandurata Warriors,Basnahira Cricket Dundee,34.0,,,Basnahira Cricket Dundee,129.0,3.0,13.0,13.0,Kandurata Warriors,95.0,7.0,13.0,13.0,,,2012
571355,564280,"Uthura Rudras v Wayamba United at Colombo (RPS)- Aug 12, 2012",Wayamba United won by 9 wickets (with 4 balls remaining),Uthura Rudras 179/7 (20/20 ov); Wayamba United 183/1 (19.2/20 ov),2012-08-12,Colombo (RPS),,Uthura Rudras,Wayamba United,Wayamba United,,9.0,4.0,Uthura Rudras,179.0,7.0,20.0,20.0,Wayamba United,183.0,1.0,19.2,20.0,,,2012
571356,564280,"Uva Next v Basnahira Cricket Dundee at Colombo (RPS)- Aug 12, 2012",Uva Next won by 8 wickets (with 10 balls remaining),Basnahira Cricket Dundee 136/9 (20/20 ov); Uva Next 139/2 (18.2/20 ov),2012-08-12,Colombo (RPS),,Uva Next,Basnahira Cricket Dundee,Uva Next,,8.0,10.0,Basnahira Cricket Dundee,136.0,9.0,20.0,20.0,Uva Next,139.0,2.0,18.2,20.0,,,2012
571357,564280,"Kandurata Warriors v Nagenahira Nagas at Colombo (RPS)- Aug 13, 2012",Nagenahira Nagas won by 7 wickets (with 3 balls remaining),Kandurata Warriors 159/7 (20/20 ov); Nagenahira Nagas 160/3 (19.3/20 ov),2012-08-13,Colombo (RPS),,Kandurata Warriors,Nagenahira Nagas,Nagenahira Nagas,,7.0,3.0,Kandurata Warriors,159.0,7.0,20.0,20.0,Nagenahira Nagas,160.0,3.0,19.3,20.0,,,2012
571358,564280,"Ruhuna Royals v Uthura Rudras at Colombo (RPS)- Aug 14, 2012",Ruhuna Royals won by 35 runs (D/L method),"Ruhuna Royals 145/3 (16/16 ov); Uthura Rudras 118 (15.5/16 ov, target: 154)",2012-08-14,Colombo (RPS),,Ruhuna Royals,Uthura Rudras,Ruhuna Royals,35.0,,,Ruhuna Royals,145.0,3.0,16.0,16.0,Uthura Rudras,118.0,10.0,15.5,16.0,1.0,154.0,2012
571359,564280,"Wayamba United v Uva Next at Pallekele- Aug 17, 2012",Wayamba United won by 20 runs,Wayamba United 147/9 (20/20 ov); Uva Next 127 (18.1/20 ov),2012-08-17,Pallekele,,Wayamba United,Uva Next,Wayamba United,20.0,,,Wayamba United,147.0,9.0,20.0,20.0,Uva Next,127.0,10.0,18.1,20.0,,,2012
